Q1_LikelihoodToStay,Q2_Age,Q3_Gender,Q4_Education,Q5_JobLevel,Q6_Department,Q7_TenureYears,Q8_SalaryBand,Q9_WeeklyHours,Q10_WorkArrangement,Q11_CommuteMin,Q12_JobSatisfaction,Q13_WorkLifeBalance,Q14_CareerGrowthSat,Q15_ManagerRelationship,Q16_CultureAlignment,Q17_ReasonsLeave,Q18_MotivatorsStay,Q19_TrainingHours,Q20_Recommend,Q21_SwitchFor15Raise,Q22_RetentionInitiatives
2,37,Female,Bachelor’s,Entry,Engineering,3.3,75–120k,57,On-site,39,5,4,3,2,2,"Limited growth, Other, Commute","Competitive pay, Other",22,Yes,Maybe,"Salary review, Career roadmap, Flexible hours"
4,40,Male,Bachelor’s,Mid,Sales,0.7,<75k,65,On-site,34,4,1,2,5,5,"Low pay, Workload stress","Purposeful work, Benefits, Flexible work",13,No,Yes,"Flexible hours, Salary review"
4,29,Male,Bachelor’s,Entry,IT Support,12.6,75–120k,46,Hybrid,6,2,5,4,5,5,Culture misfit,"Growth path, Purposeful work, Competitive pay",27,No,Yes,"Wellness programs, Career roadmap, Flexible hours"
4,25,Male,Master’s,Mid,Engineering,0.7,<75k,49,Hybrid,40,4,2,3,2,5,Manager conflict,Purposeful work,4,Yes,Yes,"Remote option, Other"
3,25,Female,Bachelor’s,Lead,Sales,1.1,180–250k,47,Hybrid,48,4,4,3,1,2,Workload stress,"Recognition, Flexible work, Other",20,No,Yes,"Mentorship, Wellness programs, Remote option"
4,41,Male,Bachelor’s,Senior,Engineering,3.7,120–180k,49,Fully Remote,0,5,2,5,4,5,Lack of flexibility,"Team culture, Growth path",31,No,No,"Wellness programs, Flexible hours, Other"
4,31,Male,Bachelor’s,Senior,IT Support,3.7,75–120k,43,On-site,35,3,4,4,3,5,Manager conflict,"Other, Team culture, Benefits",18,No,No,"Wellness programs, Flexible hours"
5,20,Male,Bachelor’s,Entry,Marketing,2.0,120–180k,45,On-site,29,5,3,4,4,3,Workload stress,"Flexible work, Purposeful work, Team culture",8,Yes,Maybe,"Career roadmap, Other"
3,22,Female,Bachelor’s,Entry,Finance,1.4,<75k,40,Hybrid,30,3,4,2,4,3,"Commute, Lack of flexibility, Low pay","Purposeful work, Flexible work",16,No,No,"Career roadmap, Other, Flexible hours"
4,26,Male,Doctorate,Lead,Engineering,7.8,180–250k,49,On-site,33,3,3,4,5,5,"Manager conflict, Workload stress, Culture misfit",Other,27,No,No,Wellness programs
4,35,Male,Master’s,Senior,Engineering,4.6,75–120k,39,Hybrid,42,3,4,3,3,4,"Manager conflict, Low pay",Growth path,33,Yes,Maybe,Remote option
3,41,Male,Diploma,Mid,Engineering,7.0,120–180k,43,Hybrid,26,2,4,3,1,4,"Benefits, Manager conflict, Commute","Recognition, Team culture, Other",47,Yes,Yes,"Other, Salary review"
4,39,Male,Doctorate,Mid,Other,1.7,75–120k,32,On-site,38,4,4,2,4,5,"Manager conflict, Low pay, Culture misfit","Competitive pay, Recognition, Other",20,No,Yes,Mentorship
4,34,Female,Master’s,Senior,Product,7.1,180–250k,40,Fully Remote,0,4,4,4,4,4,"Culture misfit, Manager conflict, Benefits","Purposeful work, Recognition",22,Yes,Yes,"Childcare support, Mentorship"
3,27,Male,Diploma,Mid,Sales,3.0,75–120k,41,On-site,43,4,4,3,4,2,Low pay,"Benefits, Growth path",20,Yes,Maybe,"Remote option, Mentorship"
4,44,Non-binary,Bachelor’s,Mid,Finance,6.8,75–120k,38,On-site,49,2,3,4,4,4,"Limited growth, Low pay, Lack of flexibility","Competitive pay, Growth path, Purposeful work",23,Yes,Maybe,"Other, Flexible hours"
2,21,Male,Master’s,Entry,Engineering,2.4,<75k,48,On-site,115,2,4,4,2,3,"Culture misfit, Commute","Other, Manager support",36,Yes,Maybe,Salary review
4,32,Female,Bachelor’s,Lead,Marketing,2.4,75–120k,43,Hybrid,30,5,4,3,4,4,"Workload stress, Low pay, Commute",Flexible work,26,Yes,Maybe,Childcare support
4,36,Male,Bachelor’s,Senior,Engineering,2.1,120–180k,47,Hybrid,21,5,4,5,3,2,"Limited growth, Benefits, Lack of flexibility","Other, Benefits, Flexible work",27,No,No,Career roadmap
4,20,Female,Bachelor’s,Lead,IT Support,1.1,180–250k,41,Fully Remote,0,4,5,3,5,3,"Limited growth, Low pay","Growth path, Other",22,Yes,Yes,Wellness programs
4,32,Non-binary,Bachelor’s,Senior,Product,1.4,180–250k,35,Hybrid,21,4,3,5,3,2,"Commute, Low pay, Lack of flexibility","Team culture, Growth path, Manager support",19,No,Yes,"Remote option, Other, Childcare support"
5,44,Male,Diploma,Senior,Engineering,5.6,75–120k,51,Fully Remote,0,3,3,5,5,5,"Commute, Culture misfit, Workload stress",Growth path,13,No,Yes,Salary review
4,36,Male,Doctorate,Entry,Sales,10.2,<75k,47,Hybrid,20,4,5,3,3,5,"Other, Benefits","Competitive pay, Growth path, Other",22,Yes,Yes,Salary review
3,37,Male,Bachelor’s,Senior,Sales,3.8,120–180k,44,Hybrid,41,3,2,4,3,4,"Lack of flexibility, Low pay","Recognition, Other",0,Yes,No,"Childcare support, Career roadmap, Wellness programs"
3,26,Female,Master’s,Lead,HR,5.4,180–250k,54,Fully Remote,0,2,4,3,5,5,Benefits,Flexible work,15,Yes,No,"Mentorship, Remote option"
4,26,Male,Diploma,Lead,Finance,10.4,>250k,47,On-site,17,5,4,3,4,4,"Manager conflict, Other","Benefits, Team culture",18,No,Maybe,Salary review
